rank, imageUrl, gameLink, gameTitle, platform,Publisher, developer, VGChartzScore, CriticScore,UserScore, TotalShipped, TotalSales, NASales,PALSales, JapanSales, OtherSales, ReleaseDate, LastUpdate
1595,/games/boxart/4979670ccc.jpg,https://www.vgchartz.com/game/5484/need-for-speed-carbon-own-the-city/?region=All,Need for Speed Carbon: Own the City    ,PSP,Electronic Arts  ,EA Black Box  ,N/A  ,7.4  ,N/A  ,N/A,2.42m,0.87m,0.97m,N/A,0.58m,31st Oct 06  ,N/A
1596,/games/boxart/7172339ccc.jpg,https://www.vgchartz.com/game/6299/ice-hockey/?region=All,Ice Hockey    ,NES,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,2.42m,N/A,N/A,N/A,N/A,N/A,01st Mar 88  ,N/A
1597,/games/boxart/5905935ccc.png,https://www.vgchartz.com/game/2101/sonic-adventure/?region=All,Sonic Adventure    ,DC,Sega  ,Sonic Team  ,N/A  ,8.9  ,N/A  ,N/A,2.42m,1.26m,0.61m,0.46m,0.08m,09th Sep 99  ,N/A
1598,/games/boxart/full_8847992AmericaFrontccc.jpg,https://www.vgchartz.com/game/15674/tom-clancys-rainbow-six-vegas-2/?region=All,Tom Clancy's Rainbow Six: Vegas 2    ,X360,Ubisoft  ,Ubisoft Montreal  ,N/A  ,8.2  ,N/A  ,N/A,2.42m,1.56m,0.61m,0.02m,0.23m,18th Mar 08  ,N/A
1599,/games/boxart/full_6458923AmericaFrontccc.jpg,https://www.vgchartz.com/game/38409/god-of-war-collection/?region=All,God of War Collection    Read the review,PS3,Sony Computer Entertainment  ,Bluepoint Games  ,9.0  ,9.2  ,N/A  ,2.42m,N/A,N/A,N/A,N/A,N/A,17th Nov 09  ,N/A
1600,/games/boxart/full_6722413AmericaFrontccc.jpg,https://www.vgchartz.com/game/51748/kinect-disneyland-adventures/?region=All,Kinect: Disneyland Adventures    Read the review,X360,Microsoft Studios  ,Frontier Developments  ,6.8  ,8.5  ,N/A  ,N/A,2.41m,1.73m,0.43m,0.02m,0.23m,15th Nov 11  ,29th Sep 18
1601,/games/boxart/full_pro-evolution-soccer-2011_2AmericaFront.jpg,https://www.vgchartz.com/game/43332/pro-evolution-soccer-2011/?region=All,Pro Evolution Soccer 2011    ,PS3,Konami  ,Konami  ,N/A  ,6.0  ,N/A  ,N/A,2.41m,0.29m,1.18m,0.54m,0.41m,05th Oct 10  ,N/A
1602,/games/boxart/3647334ccc.jpg,https://www.vgchartz.com/game/6196/atv-offroad-fury/?region=All,ATV Offroad Fury    ,PS2,Sony Computer Entertainment  ,Rainbow Studios  ,N/A  ,8.4  ,N/A  ,N/A,2.41m,2.07m,0.26m,N/A,0.08m,05th Feb 01  ,N/A
1603,/games/boxart/809811ccc.jpg,https://www.vgchartz.com/game/1761/pokemon-colosseum/?region=All,Pokémon Colosseum    ,GC,Nintendo  ,Genius Sonority Inc.  ,N/A  ,7.0  ,N/A  ,2.41m,N/A,N/A,N/A,N/A,N/A,22nd Mar 04  ,N/A
1604,/games/boxart/full_4368420AmericaFrontccc.jpg,https://www.vgchartz.com/game/85555/nba-2k16/?region=All,NBA 2K16    ,XOne,2K Sports  ,Visual Concepts  ,N/A  ,8.3  ,N/A  ,N/A,2.41m,2.01m,0.15m,N/A,0.25m,29th Sep 15  ,28th Mar 18
1605,/games/boxart/full_halo-combat-evolved-anniversary_84AmericaFront.jpg,https://www.vgchartz.com/game/51759/halo-combat-evolved-anniversary/?region=All,Halo: Combat Evolved Anniversary    Read the review,X360,Microsoft Studios  ,343 Industries  ,8.4  ,8.0  ,N/A  ,N/A,2.41m,1.44m,0.71m,0.04m,0.22m,15th Nov 11  ,N/A
1606,/games/boxart/9522566ccc.jpg,https://www.vgchartz.com/game/12753/need-for-speed-prostreet/?region=All,Need for Speed: ProStreet    ,PS2,Electronic Arts  ,EA Black Box  ,N/A  ,N/A  ,N/A  ,N/A,2.41m,0.69m,0.00m,0.04m,1.68m,13th Nov 07  ,N/A
1607,/games/boxart/9232750ccc.jpg,https://www.vgchartz.com/game/2371/tetris-plus/?region=All,Tetris Plus    ,PS,Jaleco  ,Atlus Co.  ,N/A  ,N/A  ,N/A  ,N/A,2.40m,2.10m,0.24m,N/A,0.07m,18th Oct 96  ,N/A
1608,/games/boxart/full_1540980PALFrontccc.jpg,https://www.vgchartz.com/game/72222/forza-motorsport-5/?region=All,Forza Motorsport 5    ,XOne,Microsoft Studios  ,Turn 10 Studios  ,N/A  ,N/A  ,N/A  ,N/A,2.40m,1.28m,0.90m,0.01m,0.21m,22nd Nov 13  ,15th Jan 18
1609,/games/boxart/full_3616000AmericaFrontccc.jpg,https://www.vgchartz.com/game/14168/midnight-club-los-angeles/?region=All,Midnight Club: Los Angeles    ,X360,Rockstar Games  ,Rockstar San Diego  ,N/A  ,8.0  ,N/A  ,N/A,2.40m,1.72m,0.45m,0.01m,0.22m,20th Oct 08  ,N/A
1610,/games/boxart/full_command-ampamp-conquer-tiberian-sun_427AmericaFront.jpg,https://www.vgchartz.com/game/6213/command-amp-conquer-tiberian-sun/?region=All,Command & Conquer: Tiberian Sun    ,PC,Westwood Studios  ,Westwood Studios  ,N/A  ,N/A  ,N/A  ,2.40m,N/A,N/A,N/A,N/A,N/A,24th Aug 99  ,N/A
1611,/games/boxart/full_8523268AmericaFrontccc.jpg,https://www.vgchartz.com/game/229362/csi-crime-scene-investigation/?region=All,CSI: Crime Scene Investigation    ,Series,Ubisoft  ,369 Interactive  ,N/A  ,N/A  ,N/A  ,2.40m,N/A,N/A,N/A,N/A,N/A,26th Mar 03  ,15th Jul 21
1612,/games/boxart/full_5867047AmericaFrontccc.jpg,https://www.vgchartz.com/game/3095/dino-crisis/?region=All,Dino Crisis    ,PS,Capcom  ,Capcom Production Studio 4  ,N/A  ,8.9  ,N/A  ,2.40m,N/A,N/A,N/A,N/A,N/A,31st Aug 99  ,N/A
1613,/games/boxart/full_3831556JapanFrontccc.jpg,https://www.vgchartz.com/game/3317/final-fantasy-v/?region=All,Final Fantasy V    ,SNES,Square  ,SquareSoft  ,N/A  ,7.5  ,N/A  ,2.40m,N/A,N/A,N/A,N/A,N/A,06th Dec 92  ,N/A
1614,/games/boxart/full_3699063AmericaFrontccc.jpg,https://www.vgchartz.com/game/3837/monster-hunter-freedom-2/?region=All,Monster Hunter Freedom 2    ,PSP,Capcom  ,Capcom  ,N/A  ,7.6  ,N/A  ,2.40m,N/A,N/A,N/A,N/A,N/A,29th Aug 07  ,N/A
1615,/games/boxart/full_5908085AmericaFrontccc.png,https://www.vgchartz.com/game/226768/new-pokemon-snap/?region=All,New Pokémon Snap    ,NS,Nintendo  ,Bandai Namco Studios  ,N/A  ,N/A  ,N/A  ,2.40m,N/A,N/A,N/A,N/A,N/A,30th Apr 21  ,17th Jun 20
1616,/games/boxart/full_90106AmericaFrontccc.png,https://www.vgchartz.com/game/227052/pikmin-3-deluxe/?region=All,Pikmin 3 Deluxe    ,NS,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,2.40m,N/A,N/A,N/A,N/A,N/A,30th Oct 20  ,05th Aug 20
