rank, imageUrl, gameLink, gameTitle, platform,Publisher, developer, VGChartzScore, CriticScore,UserScore, TotalShipped, TotalSales, NASales,PALSales, JapanSales, OtherSales, ReleaseDate, LastUpdate
303,/games/boxart/full_1562748AmericaFrontccc.jpg,https://www.vgchartz.com/game/227460/resident-evil-4/?region=All,Resident Evil 4    ,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,13.00m,N/A,N/A,N/A,N/A,N/A,11th Jan 05  ,11th Oct 20
304,/games/boxart/full_3256341AmericaFrontccc.jpg,https://www.vgchartz.com/game/226261/scribblenauts/?region=All,Scribblenauts    ,Series,Warner Bros. Interactive Entertainment  ,5th Cell  ,N/A  ,N/A  ,N/A  ,13.00m,N/A,N/A,N/A,N/A,N/A,15th Sep 09  ,01st Mar 20
305,/games/boxart/full_5698458AmericaFrontccc.jpg,https://www.vgchartz.com/game/155895/stardew-valley/?region=All,Stardew Valley    ,PC,Chucklefish  ,ConcernedApe  ,N/A  ,9.2  ,N/A  ,13.00m,N/A,N/A,N/A,N/A,N/A,26th Feb 16  ,21st Mar 18
306,/games/boxart/full_super-mario-3dland_167AmericaFront.jpg,https://www.vgchartz.com/game/50395/super-mario-3d-land/?region=All,Super Mario 3D Land    Read the review,3DS,Nintendo  ,Nintendo EAD Tokyo  ,9.1  ,8.9  ,N/A  ,12.88m,N/A,N/A,N/A,N/A,N/A,13th Nov 11  ,06th Apr 18
307,/games/boxart/full_3171235AmericaFrontccc.jpg,https://www.vgchartz.com/game/222771/luigis-mansion-3/?region=All,Luigi's Mansion 3    Read the review,NS,Nintendo  ,Next Level Games, Inc.  ,6.0  ,N/A  ,N/A  ,12.82m,N/A,N/A,N/A,N/A,N/A,31st Oct 19  ,03rd Aug 20
308,/games/boxart/full_5542974AmericaFrontccc.jpg,https://www.vgchartz.com/game/6963/super-mario-galaxy/?region=All,Super Mario Galaxy    Read the review,Wii,Nintendo  ,Nintendo EAD Tokyo  ,9.6  ,9.7  ,9.6  ,12.80m,N/A,N/A,N/A,N/A,N/A,12th Nov 07  ,N/A
309,/games/boxart/full_2733841AmericaFrontccc.jpg,https://www.vgchartz.com/game/34267/pokemon-heart-gold-soul-silver-version/?region=All,Pokémon Heart Gold / Soul Silver Version    Read the review,DS,Nintendo  ,Game Freak  ,8.5  ,8.6  ,N/A  ,12.72m,N/A,N/A,N/A,N/A,N/A,14th Mar 10  ,N/A
310,/games/boxart/full_2236381AmericaFrontccc.jpg,https://www.vgchartz.com/game/227469/resident-evil-7/?region=All,Resident Evil 7    ,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,12.70m,N/A,N/A,N/A,N/A,N/A,24th Jan 17  ,11th Oct 20
311,/games/boxart/full_call-of-duty-black-ops_3AmericaFront.jpg,https://www.vgchartz.com/game/44951/call-of-duty-black-ops/?region=All,Call of Duty: Black Ops    Read the review,PS3,Activision  ,Treyarch  ,8.7  ,8.7  ,N/A  ,N/A,12.67m,6.01m,4.40m,0.48m,1.78m,09th Nov 10  ,N/A
312,/games/boxart/full_9031276AmericaFrontccc.jpg,https://www.vgchartz.com/game/83197/grand-theft-auto-v/?region=All,Grand Theft Auto V    ,PC,Rockstar Games  ,Rockstar North  ,N/A  ,N/A  ,N/A  ,12.60m,N/A,N/A,N/A,N/A,N/A,14th Apr 15  ,02nd Nov 18
313,/games/boxart/full_4336497AmericaFrontccc.png,https://www.vgchartz.com/game/227013/fable/?region=All,Fable    ,Series,Microsoft Game Studios  ,Big Blue Box  ,N/A  ,N/A  ,N/A  ,12.58m,N/A,N/A,N/A,N/A,N/A,14th Sep 04  ,25th Jul 20
314,/games/boxart/full_437865AmericaFrontccc.jpg,https://www.vgchartz.com/game/227273/super-mario-3d-world-bowsers-fury/?region=All,Super Mario 3D World + Bowser's Fury    Read the review,NS,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,12.58m,N/A,N/A,N/A,N/A,N/A,12th Feb 21  ,03rd Sep 20
315,/games/boxart/full_1731253AmericaFrontccc.jpg,https://www.vgchartz.com/game/227759/batman-arkham-city/?region=All,Batman: Arkham City    ,All,Warner Bros. Interactive Entertainment  ,Rocksteady Studios  ,N/A  ,N/A  ,N/A  ,12.50m,N/A,N/A,N/A,N/A,N/A,18th Oct 11  ,09th Nov 20
316,/games/boxart/full_9046076AmericaFrontccc.jpg,https://www.vgchartz.com/game/226305/myst/?region=All,Myst    ,Series,Broderbund  ,Cyan, Inc.  ,N/A  ,N/A  ,N/A  ,12.50m,N/A,N/A,N/A,N/A,N/A,24th Sep 93  ,09th Mar 20
317,/games/boxart/full_4256609AmericaFrontccc.jpg,https://www.vgchartz.com/game/230039/rust/?region=All,Rust    ,All,Facepunch Studios  ,Facepunch Studios  ,N/A  ,N/A  ,N/A  ,12.48m,N/A,N/A,N/A,N/A,N/A,08th Feb 18  ,10th Jan 22
318,/games/boxart/full_7461389AmericaFrontccc.jpg,https://www.vgchartz.com/game/71482/the-witcher-3-wild-hunt/?region=All,The Witcher 3: Wild Hunt    Read the review,PS4,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,N/A  ,N/A  ,N/A  ,12.40m,N/A,N/A,N/A,N/A,N/A,19th May 15  ,04th May 18
319,/games/boxart/full_161164AmericaFrontccc.jpg,https://www.vgchartz.com/game/226201/mario-golf/?region=All,Mario Golf    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,12.35m,N/A,N/A,N/A,N/A,N/A,29th Sep 91  ,21st Feb 20
320,/games/boxart/full_8727281AmericaFrontccc.png,https://www.vgchartz.com/game/226197/mario-amp-luigi/?region=All,Mario & Luigi    ,Series,Nintendo  ,AlphaDream  ,N/A  ,N/A  ,N/A  ,12.22m,N/A,N/A,N/A,N/A,N/A,17th Nov 03  ,21st Feb 20
321,/games/boxart/full_1923698AmericaFrontccc.jpg,https://www.vgchartz.com/game/226212/wario/?region=All,Wario    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,12.13m,N/A,N/A,N/A,N/A,N/A,13th Mar 94  ,22nd Feb 20
322,/games/boxart/full_4035614AmericaFrontccc.jpg,https://www.vgchartz.com/game/229510/7-days-to-die/?region=All,7 Days to Die    ,All,The Fun Pimps   ,The Fun Pimps  ,N/A  ,N/A  ,N/A  ,12.00m,N/A,N/A,N/A,N/A,N/A,13th Dec 13  ,15th Aug 21
323,/games/boxart/full_7383195AmericaFrontccc.jpg,https://www.vgchartz.com/game/227576/assassins-creed-iii/?region=All,Assassin's Creed III    ,All,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,12.00m,N/A,N/A,N/A,N/A,N/A,30th Oct 12  ,21st Oct 20
324,/games/boxart/full_2265290AmericaFrontccc.jpg,https://www.vgchartz.com/game/228868/assetto-corsa/?region=All,Assetto Corsa    ,All,Kunos Simulazioni  ,Kunos Simulazioni  ,N/A  ,N/A  ,N/A  ,12.00m,N/A,N/A,N/A,N/A,N/A,19th Dec 14  ,31st May 21
325,/games/boxart/full_2625011AmericaFrontccc.jpg,https://www.vgchartz.com/game/228320/bomberman/?region=All,Bomberman    ,Series,Konami  ,Hudson Soft  ,N/A  ,N/A  ,N/A  ,12.00m,N/A,N/A,N/A,N/A,N/A,01st Jan 87  ,19th Feb 21
326,/games/boxart/full_3703430AmericaFrontccc.jpg,https://www.vgchartz.com/game/228143/cities-skylines/?region=All,Cities: Skylines    ,All,Paradox Interactive   ,Colossal Order  ,N/A  ,N/A  ,N/A  ,12.00m,N/A,N/A,N/A,N/A,N/A,10th Mar 15  ,27th Jan 21
327,/games/boxart/full_7971089AmericaFrontccc.jpg,https://www.vgchartz.com/game/226215/cooking-mama/?region=All,Cooking Mama    ,Series,Majesco Entertainment  ,Cooking Mama Limited  ,N/A  ,N/A  ,N/A  ,12.00m,N/A,N/A,N/A,N/A,N/A,12th Sep 06  ,22nd Feb 20
328,/games/boxart/full_diablo-iii_550AmericaFront.jpg,https://www.vgchartz.com/game/24178/diablo-iii/?region=All,Diablo III    Read the review,PC,Blizzard Entertainment  ,Blizzard Entertainment  ,8.4  ,9.0  ,N/A  ,12.00m,N/A,N/A,N/A,N/A,N/A,15th May 12  ,03rd Jan 18
329,/games/boxart/6354662ccc.jpg,https://www.vgchartz.com/game/7279/half-life-2/?region=All,Half-Life 2    ,PC,VU Games  ,Valve Software  ,N/A  ,9.7  ,N/A  ,12.00m,N/A,N/A,N/A,N/A,N/A,16th Nov 04  ,N/A
330,/games/boxart/full_984377AmericaFrontccc.jpg,https://www.vgchartz.com/game/226265/jak-and-daxter/?region=All,Jak and Daxter    ,Series,Sony Interactive Entertainment  ,Naughty Dog  ,N/A  ,N/A  ,N/A  ,12.00m,N/A,N/A,N/A,N/A,N/A,03rd Dec 01  ,02nd Mar 20
331,/games/boxart/full_9779458AmericaFrontccc.jpg,https://www.vgchartz.com/game/226176/left-4-dead/?region=All,Left 4 Dead    ,Series,Valve  ,Valve  ,N/A  ,N/A  ,N/A  ,12.00m,N/A,N/A,N/A,N/A,N/A,17th Nov 08  ,19th Feb 20
332,/games/boxart/full_8313328AmericaFrontccc.jpg,https://www.vgchartz.com/game/226335/little-nightmares/?region=All,Little Nightmares    ,Series,Bandai Namco Entertainment  ,Tarsier Studios  ,N/A  ,N/A  ,N/A  ,12.00m,N/A,N/A,N/A,N/A,N/A,28th Apr 17  ,15th Mar 20
333,/games/boxart/full_3878591AmericaFrontccc.jpg,https://www.vgchartz.com/game/227596/nba-2k19/?region=All,NBA 2K19    ,All,2K Sports  ,Visual Concepts  ,N/A  ,N/A  ,N/A  ,12.00m,N/A,N/A,N/A,N/A,N/A,11th Sep 18  ,22nd Oct 20
334,/games/boxart/full_5668335AmericaFrontccc.jpg,https://www.vgchartz.com/game/4024/pokemon-firered-leafgreen-version/?region=All,Pokémon FireRed / LeafGreen Version    ,GBA,Nintendo  ,Game Freak  ,N/A  ,8.3  ,N/A  ,12.00m,N/A,N/A,N/A,N/A,N/A,07th Sep 04  ,N/A
335,/games/boxart/full_7082524AmericaFrontccc.jpg,https://www.vgchartz.com/game/226304/socom/?region=All,SOCOM    ,Series,Sony Interactive Entertainment  ,Zipper Interactive  ,N/A  ,N/A  ,N/A  ,12.00m,N/A,N/A,N/A,N/A,N/A,27th Aug 02  ,09th Mar 20
336,/games/boxart/2497399ccc.jpg,https://www.vgchartz.com/game/6529/world-of-warcraft/?region=All,World of Warcraft    ,PC,Blizzard Entertainment  ,Blizzard Entertainment  ,N/A  ,9.2  ,8.0  ,12.00m,N/A,N/A,N/A,N/A,N/A,23rd Nov 04  ,22nd Apr 18
337,/games/boxart/full_gran-turismo-5_118AmericaFront.png,https://www.vgchartz.com/game/7678/gran-turismo-5/?region=All,Gran Turismo 5    Read the review,PS3,Sony Computer Entertainment  ,Polyphony Digital  ,8.8  ,8.3  ,N/A  ,11.95m,N/A,N/A,N/A,N/A,N/A,24th Nov 10  ,N/A
338,/games/boxart/full_9007863AmericaFrontccc.jpg,https://www.vgchartz.com/game/2278/super-mario-64/?region=All,Super Mario 64    ,N64,Nintendo  ,Nintendo EAD  ,N/A  ,9.7  ,9.2  ,11.91m,N/A,N/A,N/A,N/A,N/A,29th Sep 96  ,N/A
339,/games/boxart/full_7534080AmericaFrontccc.png,https://www.vgchartz.com/game/227807/naruto-shippuden-ultimate-ninja-storm-4/?region=All,Naruto Shippuden: Ultimate Ninja Storm 4    ,All,Bandai Namco Entertainment  ,CyberConnect2  ,N/A  ,N/A  ,N/A  ,11.88m,N/A,N/A,N/A,N/A,N/A,09th Feb 16  ,16th Nov 20
340,/games/boxart/full_5257064AmericaFrontccc.jpg,https://www.vgchartz.com/game/180525/fifa-18/?region=All,FIFA 18    ,PS4,EA Sports  ,EA Vancouver  ,N/A  ,8.3  ,N/A  ,N/A,11.80m,1.27m,8.64m,0.15m,1.73m,29th Sep 17  ,02nd Apr 18
341,/games/boxart/full_6199072AmericaFrontccc.jpg,https://www.vgchartz.com/game/80977/the-last-of-us-remastered/?region=All,The Last of Us Remastered    ,PS4,Sony Computer Entertainment  ,Naughty Dog  ,N/A  ,9.5  ,N/A  ,11.78m,N/A,N/A,N/A,N/A,N/A,29th Jul 14  ,24th Sep 18
342,/games/boxart/full_8555381AmericaFrontccc.jpg,https://www.vgchartz.com/game/887/gran-turismo-4/?region=All,Gran Turismo 4    ,PS2,Sony Computer Entertainment  ,Polyphony Digital  ,N/A  ,8.7  ,N/A  ,11.76m,N/A,N/A,N/A,N/A,N/A,22nd Feb 05  ,N/A
343,/games/boxart/full_8328377AmericaFrontccc.jpg,https://www.vgchartz.com/game/82/animal-crossing-wild-world/?region=All,Animal Crossing: Wild World    ,DS,Nintendo  ,Nintendo EAD  ,N/A  ,8.5  ,N/A  ,11.75m,N/A,N/A,N/A,N/A,N/A,05th Dec 05  ,N/A
344,/games/boxart/full_1007059AmericaFrontccc.jpg,https://www.vgchartz.com/game/226168/taiko-no-tatsujin/?region=All,Taiko no Tatsujin    ,Series,Namco  ,Bandai Namco Studios  ,N/A  ,N/A  ,N/A  ,11.64m,N/A,N/A,N/A,N/A,N/A,26th Oct 04  ,18th Feb 20
345,/games/boxart/full_5205402AmericaFrontccc.jpg,https://www.vgchartz.com/game/226347/the-room/?region=All,The Room    ,Series,Fireproof Games  ,Fireproof Games  ,N/A  ,N/A  ,N/A  ,11.60m,N/A,N/A,N/A,N/A,N/A,01st Sep 12  ,18th Mar 20
346,/games/boxart/full_2940010AmericaFrontccc.jpg,https://www.vgchartz.com/game/227735/max-payne/?region=All,Max Payne    ,Series,Rockstar Games  ,Remedy Entertainment  ,N/A  ,N/A  ,N/A  ,11.50m,N/A,N/A,N/A,N/A,N/A,23rd Jul 01  ,06th Nov 20
347,/games/boxart/full_9307768AmericaFrontccc.png,https://www.vgchartz.com/game/229232/mario-party-superstars/?region=All,Mario Party Superstars    Read the review,NS,Nintendo  ,Nintendo  ,8.0  ,N/A  ,N/A  ,11.44m,N/A,N/A,N/A,N/A,N/A,29th Oct 21  ,15th Jun 21
348,/games/boxart/full_1612733AmericaFrontccc.jpg,https://www.vgchartz.com/game/226373/big-brain-academy/?region=All,Big Brain Academy    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,11.43m,N/A,N/A,N/A,N/A,N/A,05th Jun 06  ,23rd Mar 20
349,/games/boxart/full_2775924AmericaFrontccc.jpg,https://www.vgchartz.com/game/227465/resident-evil-6/?region=All, Resident Evil 6    ,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,11.40m,N/A,N/A,N/A,N/A,N/A,02nd Oct 12  ,11th Oct 20
350,/games/boxart/full_788912AmericaFrontccc.jpg,https://www.vgchartz.com/game/227996/dragon-age/?region=All,Dragon Age    ,Series,Electronic Arts  ,BioWare  ,N/A  ,N/A  ,N/A  ,11.20m,N/A,N/A,N/A,N/A,N/A,03rd Nov 09  ,31st Dec 20
351,/games/boxart/full_5947486AmericaFrontccc.jpg,https://www.vgchartz.com/game/4437/super-mario-land-2-6-golden-coins/?region=All,Super Mario Land 2: 6 Golden Coins    ,GB,Nintendo  ,Nintendo R&D1  ,N/A  ,9.0  ,N/A  ,11.18m,N/A,N/A,N/A,N/A,N/A,02nd Nov 92  ,N/A
352,/games/boxart/full_8637938AmericaFrontccc.jpg,https://www.vgchartz.com/game/226183/wii-party/?region=All,Wii Party    ,Series,Nintendo  ,NDcube  ,N/A  ,N/A  ,N/A  ,11.14m,N/A,N/A,N/A,N/A,N/A,03rd Oct 10  ,19th Feb 20
353,/games/boxart/full_1182151AmericaFrontccc.jpg,https://www.vgchartz.com/game/7103/grand-theft-auto-iv/?region=All,Grand Theft Auto IV    Read the review,X360,Rockstar Games  ,Rockstar North  ,9.0  ,10.0  ,N/A  ,N/A,11.09m,6.80m,3.11m,0.14m,1.04m,29th Apr 08  ,N/A
354,/games/boxart/full_1719347AmericaFrontccc.jpg,https://www.vgchartz.com/game/2279/super-mario-64-ds/?region=All,Super Mario 64 DS    ,DS,Nintendo  ,Nintendo EAD  ,N/A  ,8.6  ,N/A  ,11.06m,N/A,N/A,N/A,N/A,N/A,20th Nov 04  ,N/A
355,/games/boxart/full_5129174AmericaFrontccc.jpg,https://www.vgchartz.com/game/71893/super-mario-64-ds/?region=All,Super Mario 64 DS    ,DS,Nintendo  ,Nintendo EAD  ,N/A  ,N/A  ,N/A  ,11.06m,N/A,N/A,N/A,N/A,N/A,20th Nov 04  ,22nd Mar 20
356,/games/boxart/full_8443313AmericaFrontccc.jpg,https://www.vgchartz.com/game/227724/bioshock-infinite/?region=All,BioShock Infinite    ,All,2K Games  ,Irrational Games  ,N/A  ,N/A  ,N/A  ,11.00m,N/A,N/A,N/A,N/A,N/A,26th Mar 13  ,03rd Nov 20
357,/games/boxart/full_6705692AmericaFrontccc.jpg,https://www.vgchartz.com/game/227695/civilization-vi/?region=All,Civilization VI    ,All,2K Games  ,Firaxis Games  ,N/A  ,N/A  ,N/A  ,11.00m,N/A,N/A,N/A,N/A,N/A,21st Oct 16  ,31st Oct 20
358,/games/boxart/full_4716120AmericaFrontccc.jpg,https://www.vgchartz.com/game/226272/dance-dance-revolution/?region=All,Dance Dance Revolution    ,Series,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,11.00m,N/A,N/A,N/A,N/A,N/A,26th Sep 98  ,03rd Mar 20
359,/games/boxart/full_8313517AmericaFrontccc.jpg,https://www.vgchartz.com/game/226930/fall-guys-ultimate-knockout/?region=All,Fall Guys: Ultimate Knockout    ,PC,Devolver Digital  ,Mediatonic  ,N/A  ,N/A  ,N/A  ,11.00m,N/A,N/A,N/A,N/A,N/A,04th Aug 20  ,14th Jul 20
360,/games/boxart/full_7818120AmericaFrontccc.jpg,https://www.vgchartz.com/game/231256/god-of-war-ragnarok/?region=All,God of War: Ragnarök    ,All,Sony Interactive Entertainment  ,Sony Computer Entertainment  ,N/A  ,N/A  ,N/A  ,11.00m,N/A,N/A,N/A,N/A,N/A,09th Nov 22  ,23rd Nov 22
361,/games/boxart/full_4813989AmericaFrontccc.jpg,https://www.vgchartz.com/game/229376/lego-batman-the-videogame/?region=All,Lego Batman: The Videogame    ,All,Warner Bros. Interactive Entertainment  ,TT Fusion  ,N/A  ,N/A  ,N/A  ,11.00m,N/A,N/A,N/A,N/A,N/A,23rd Sep 08  ,20th Jul 21
362,/games/boxart/full_746906AmericaFrontccc.png,https://www.vgchartz.com/game/227669/mortal-kombat-x/?region=All,Mortal Kombat X    ,All,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,N/A  ,N/A  ,N/A  ,11.00m,N/A,N/A,N/A,N/A,N/A,07th Apr 15  ,28th Oct 20
363,/games/boxart/full_4635724AmericaFrontccc.jpg,https://www.vgchartz.com/game/227729/nba-2k21/?region=All,NBA 2K21    ,All,2K Sports  ,Visual Concepts  ,N/A  ,N/A  ,N/A  ,11.00m,N/A,N/A,N/A,N/A,N/A,04th Sep 20  ,06th Nov 20
364,/games/boxart/full_6673252AmericaFrontccc.jpg,https://www.vgchartz.com/game/227564/need-for-speed-underground-2/?region=All,Need for Speed: Underground 2    ,All,Electronic Arts  ,EA Black Box  ,N/A  ,N/A  ,N/A  ,11.00m,N/A,N/A,N/A,N/A,N/A,09th Nov 04  ,20th Oct 20
365,/games/boxart/full_5128267AmericaFrontccc.jpg,https://www.vgchartz.com/game/228032/sniper-ghost-warrior/?region=All,Sniper: Ghost Warrior    ,Series,City Interactive  ,CI Games  ,N/A  ,N/A  ,N/A  ,11.00m,N/A,N/A,N/A,N/A,N/A,16th Oct 08  ,11th Jan 21
366,/games/boxart/3959329ccc.jpg,https://www.vgchartz.com/game/7214/starcraft/?region=All,StarCraft    ,PC,Blizzard Entertainment  ,Blizzard Entertainment  ,N/A  ,8.7  ,N/A  ,11.00m,N/A,N/A,N/A,N/A,N/A,01st Apr 98  ,23rd Nov 18
367,/games/boxart/full_8364295AmericaFrontccc.jpg,https://www.vgchartz.com/game/227643/tomb-raider-2013/?region=All,Tomb Raider (2013)    ,All,Square Enix  ,Crystal Dynamics  ,N/A  ,N/A  ,N/A  ,11.00m,N/A,N/A,N/A,N/A,N/A,05th Mar 13  ,26th Oct 20
368,/games/boxart/full_7661370AmericaFrontccc.jpg,https://www.vgchartz.com/game/117272/fifa-17/?region=All,FIFA 17    ,PS4,Electronic Arts  ,EA Canada  ,N/A  ,8.9  ,N/A  ,N/A,10.94m,1.26m,7.95m,0.12m,1.61m,27th Sep 16  ,28th Mar 18
369,/games/boxart/full_3731913AmericaFrontccc.png,https://www.vgchartz.com/game/227566/need-for-speed-prostreet/?region=All,Need for Speed: ProStreet    ,All,Electronic Arts  ,EA Black Box  ,N/A  ,N/A  ,N/A  ,10.90m,N/A,N/A,N/A,N/A,N/A,14th Nov 07  ,20th Oct 20
370,/games/boxart/6215143ccc.jpg,https://www.vgchartz.com/game/884/gran-turismo/?region=All,Gran Turismo    ,PS,Sony Computer Entertainment  ,Polyphony Digital  ,N/A  ,9.5  ,N/A  ,10.85m,N/A,N/A,N/A,N/A,N/A,30th Apr 98  ,N/A
371,/games/boxart/full_3838483AmericaFrontccc.jpg,https://www.vgchartz.com/game/230142/nintendo-switch-sports/?region=All,Nintendo Switch Sports    Read the review,NS,Nintendo  ,Nintendo  ,3.0  ,N/A  ,N/A  ,10.77m,N/A,N/A,N/A,N/A,N/A,29th Apr 22  ,09th Feb 22
372,/games/boxart/full_9023300AmericaFrontccc.jpg,https://www.vgchartz.com/game/227486/monster-hunter-world-iceborne/?region=All,Monster Hunter World: Iceborne    ,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,10.70m,N/A,N/A,N/A,N/A,N/A,06th Sep 19  ,13th Oct 20
373,/games/boxart/full_7099900AmericaFrontccc.jpg,https://www.vgchartz.com/game/228290/splatoon-3/?region=All,Splatoon 3    Read the review,NS,Nintendo  ,Nintendo  ,8.5  ,N/A  ,N/A  ,10.67m,N/A,N/A,N/A,N/A,N/A,09th Sep 22  ,17th Feb 21
374,/games/boxart/full_call-of-duty-modern-warfare-2_1AmericaFront.jpg,https://www.vgchartz.com/game/28847/call-of-duty-modern-warfare-2/?region=All,Call of Duty: Modern Warfare 2    Read the review,PS3,Activision  ,Infinity Ward  ,9.0  ,9.5  ,N/A  ,N/A,10.61m,4.99m,3.66m,0.38m,1.59m,10th Nov 09  ,N/A
375,/games/boxart/full_1729769AmericaFrontccc.jpg,https://www.vgchartz.com/game/7102/grand-theft-auto-iv/?region=All,Grand Theft Auto IV    Read the review,PS3,Rockstar Games  ,Rockstar North  ,9.0  ,10.0  ,9.0  ,N/A,10.57m,4.79m,3.73m,0.44m,1.62m,29th Apr 08  ,N/A
376,/games/boxart/8836826ccc.jpg,https://www.vgchartz.com/game/4432/super-mario-all-stars/?region=All,Super Mario All-Stars    ,SNES,Nintendo  ,Nintendo EAD  ,N/A  ,N/A  ,9.5  ,10.55m,N/A,N/A,N/A,N/A,N/A,01st Aug 93  ,N/A
377,/games/boxart/full_7218158AmericaFrontccc.jpg,https://www.vgchartz.com/game/226340/rocket-league/?region=All,Rocket League    ,Series,Psyonix  ,Psyonix  ,N/A  ,N/A  ,N/A  ,10.50m,N/A,N/A,N/A,N/A,N/A,07th Jul 15  ,16th Mar 20
378,/games/boxart/full_284097AmericaFrontccc.jpg,https://www.vgchartz.com/game/227953/rocket-league/?region=All,Rocket League    ,All,Psyonix  ,Psyonix  ,N/A  ,N/A  ,N/A  ,10.50m,N/A,N/A,N/A,N/A,N/A,07th Jul 15  ,18th Dec 20
379,/games/boxart/full_7075778AmericaFrontccc.jpg,https://www.vgchartz.com/game/226178/tomodachi/?region=All,Tomodachi    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,10.48m,N/A,N/A,N/A,N/A,N/A,06th Jun 14  ,19th Feb 20
380,/games/boxart/full_5149406AmericaFrontccc.jpg,https://www.vgchartz.com/game/227746/dark-souls-iii/?region=All,Dark Souls III    ,All,Bandai Namco Entertainment  ,From Software  ,N/A  ,N/A  ,N/A  ,10.46m,N/A,N/A,N/A,N/A,N/A,12th Apr 16  ,08th Nov 20
381,/games/boxart/full_8522439AmericaFrontccc.jpg,https://www.vgchartz.com/game/71508/call-of-duty-ghosts/?region=All,Call of Duty: Ghosts    ,X360,Activision  ,Infinity Ward  ,N/A  ,6.9  ,N/A  ,N/A,10.41m,6.76m,2.64m,0.04m,0.98m,05th Nov 13  ,21st Mar 18
382,/games/boxart/full_2888392AmericaFrontccc.jpg,https://www.vgchartz.com/game/226142/nobunagas-ambition/?region=All,Nobunaga's Ambition    ,Series,KOEI  ,Koei  ,N/A  ,N/A  ,N/A  ,10.35m,N/A,N/A,N/A,N/A,N/A,01st Mar 83  ,14th Feb 20
383,/games/boxart/full_3698558AmericaFrontccc.jpg,https://www.vgchartz.com/game/71507/call-of-duty-ghosts/?region=All,Call of Duty: Ghosts    ,PS3,Activision  ,Infinity Ward  ,N/A  ,7.5  ,N/A  ,N/A,10.13m,4.11m,4.01m,0.39m,1.62m,05th Nov 13  ,21st Mar 18
384,/games/boxart/full_2872487AmericaFrontccc.jpg,https://www.vgchartz.com/game/226250/saga/?region=All,SaGa    ,Series,Square Enix  ,Square  ,N/A  ,N/A  ,N/A  ,10.10m,N/A,N/A,N/A,N/A,N/A,30th Sep 90  ,29th Feb 20
385,/games/boxart/full_5531684AmericaFrontccc.png,https://www.vgchartz.com/game/226057/ace-attorney/?region=All,Ace Attorney    ,Series,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,12th Oct 05  ,04th Feb 20
386,/games/boxart/full_778605AmericaFrontccc.png,https://www.vgchartz.com/game/227580/assassins-creed-odyssey/?region=All,Assassin's Creed Odyssey    ,All,Ubisoft  ,Ubisoft Quebec  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,05th Oct 18  ,21st Oct 20
387,/games/boxart/full_8216446AmericaFrontccc.png,https://www.vgchartz.com/game/227579/assassins-creed-origins/?region=All,Assassin's Creed Origins    ,All,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,27th Oct 17  ,21st Oct 20
388,/games/boxart/full_9124825AmericaFrontccc.jpg,https://www.vgchartz.com/game/227578/assassins-creed-unity/?region=All,Assassin's Creed Unity    ,All,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,11th Nov 14  ,21st Oct 20
389,/games/boxart/full_7352725AmericaFrontccc.jpg,https://www.vgchartz.com/game/228373/broken-sword/?region=All,Broken Sword    ,Series,Virgin Interactive  ,Revolution Software  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,30th Sep 96  ,03rd Mar 21
390,/games/boxart/full_34461AmericaFrontccc.png,https://www.vgchartz.com/game/226161/buzz/?region=All,Buzz!    ,Series,Sony Interactive Entertainment  ,Relentless Software  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,21st Oct 05  ,17th Feb 20
391,/games/boxart/full_357995AmericaFrontccc.jpg,https://www.vgchartz.com/game/227684/crash-bandicoot-n-sane-trilogy/?region=All,Crash Bandicoot N. Sane Trilogy    ,All,Activision  ,Vicarious Visions  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,30th Jun 17  ,30th Oct 20
